GYD,Azerbaijan,NBC,Russia
LHR,United Kingdom,DME,Russia
LHR,United Kingdom,DUB,Ireland
LHR,United Kingdom,DUS,Germany
LHR,United Kingdom,DXB,United Arab Emirates
LHR,United Kingdom,EBB,Uganda
LHR,United Kingdom,EWR,United States
LHR,United Kingdom,EZE,Argentina
LHR,United Kingdom,FAO,Portugal
LHR,United Kingdom,FCO,Italy
LHR,United Kingdom,FNA,Sierra Leone
LHR,United Kingdom,FRA,Germany
LHR,United Kingdom,GIB,Gibraltar
LHR,United Kingdom,GIG,Brazil
LHR,United Kingdom,GOT,Sweden
LHR,United Kingdom,GRU,Brazil
LHR,United Kingdom,GVA,Switzerland
LHR,United Kingdom,GYD,Azerbaijan
LHR,United Kingdom,HAJ,Germany
LHR,United Kingdom,HAM,Germany
LHR,United Kingdom,HEL,Finland
LHR,United Kingdom,HKG,Hong Kong
LHR,United Kingdom,HND,Japan
LHR,United Kingdom,HYD,India
LHR,United Kingdom,IAD,United States
LHR,United Kingdom,IAH,United States
LHR,United Kingdom,IBZ,Spain
LHR,United Kingdom,ICN,South Korea
LHR,United Kingdom,IST,Turkey
LHR,United Kingdom,JED,Saudi Arabia
LHR,United Kingdom,JFK,United States
LHR,United Kingdom,JMK,Greece
LHR,United Kingdom,JNB,South Africa
LHR,United Kingdom,JTR,Greece
LHR,United Kingdom,KBP,Ukraine
LHR,United Kingdom,KWI,Kuwait
LHR,United Kingdom,LAD,Angola
LHR,United Kingdom,LAS,United States
LHR,United Kingdom,LAX,United States
LHR,United Kingdom,LCA,Cyprus
LHR,United Kingdom,LED,Russia
LHR,United Kingdom,LIN,Italy
LHR,United Kingdom,LIS,Portugal
LHR,United Kingdom,LOS,Nigeria
LHR,United Kingdom,LUX,Luxembourg
LHR,United Kingdom,LYS,France
LHR,United Kingdom,MAA,India
LHR,United Kingdom,MAD,Spain
LHR,United Kingdom,MEX,Mexico
LHR,United Kingdom,MIA,United States
LHR,United Kingdom,MRS,France
LHR,United Kingdom,MUC,Germany
LHR,United Kingdom,MXP,Italy
LHR,United Kingdom,NAS,Bahamas
LHR,United Kingdom,NBO,Kenya
LHR,United Kingdom,NCE,France
LHR,United Kingdom,NRT,Japan
LHR,United Kingdom,OPO,Portugal
LHR,United Kingdom,ORD,United States
LHR,United Kingdom,ORY,France
LHR,United Kingdom,OSL,Norway
LHR,United Kingdom,OTP,Romania
LHR,United Kingdom,PEK,China
LHR,United Kingdom,PHL,United States
LHR,United Kingdom,PHX,United States
LHR,United Kingdom,PMI,Spain
LHR,United Kingdom,PRG,Czech Republic
LHR,United Kingdom,PSA,Italy
LHR,United Kingdom,PVG,China
LHR,United Kingdom,RDU,United States
LHR,United Kingdom,RTM,Netherlands
LHR,United Kingdom,RUH,Saudi Arabia
LHR,United Kingdom,SAN,United States
LHR,United Kingdom,SEA,United States
LHR,United Kingdom,SFO,United States
LHR,United Kingdom,SIN,Singapore
LHR,United Kingdom,SOF,Bulgaria
LHR,United Kingdom,STR,Germany
LHR,United Kingdom,SVG,Norway
LHR,United Kingdom,TIP,Libya
LHR,United Kingdom,TLS,France
LHR,United Kingdom,TLV,Israel
LHR,United Kingdom,TXL,Germany
LHR,United Kingdom,VCE,Italy
LHR,United Kingdom,VIE,Austria
LHR,United Kingdom,WAW,Poland
LHR,United Kingdom,YUL,Canada
LHR,United Kingdom,YVR,Canada
LHR,United Kingdom,YYC,Canada
LHR,United Kingdom,YYZ,Canada
LHR,United Kingdom,ZAG,Croatia
LHR,United Kingdom,ZRH,Switzerland
LIN,Italy,LHR,United Kingdom
LIS,Portugal,LHR,United Kingdom
LOS,Nigeria,LHR,United Kingdom
LUX,Luxembourg,LHR,United Kingdom
LVI,Zambia,JNB,South Africa
LYS,France,LHR,United Kingdom
MAA,India,LHR,United Kingdom
MAD,Spain,BOS,United States
MAD,Spain,DFW,United States
MAD,Spain,JFK,United States
MAD,Spain,LAX,United States
MAD,Spain,LCY,United Kingdom
MAD,Spain,LHR,United Kingdom
MAD,Spain,MIA,United States
MAD,Spain,ORD,United States
MAH,Spain,LCY,United Kingdom
MAN,United Kingdom,BLL,Denmark
MAN,United Kingdom,GOT,Sweden
MAN,United Kingdom,HEL,Finland
MAN,United Kingdom,JFK,United States
MAN,United Kingdom,ORD,United States
MCO,United States,LGW,United Kingdom
MCT,Oman,AUH,United Arab Emirates
MEX,Mexico,DFW,United States
MEX,Mexico,LHR,United Kingdom
MEX,Mexico,MIA,United States
MIA,United States,BCN,Spain
MIA,United States,CDG,France
MIA,United States,CUR,Netherlands Antilles
MIA,United States,LHR,United Kingdom
MIA,United States,MAD,Spain
MIA,United States,MEX,Mexico
MIA,United States,MXP,Italy
MIA,United States,STT,Virgin Islands
MLA,Malta,LGW,United Kingdom
MLE,Maldives,CMB,Sri Lanka
MLE,Maldives,LGW,United Kingdom
MLM,Mexico,DFW,United States
MRS,France,LHR,United Kingdom
MRU,Mauritius,JNB,South Africa
MRU,Mauritius,LGW,United Kingdom
MUC,Germany,BLL,Denmark
MUC,Germany,LHR,United Kingdom
MXP,Italy,JFK,United States
MXP,Italy,LHR,United Kingdom
MXP,Italy,MIA,United States
NAP,Italy,LGW,United Kingdom
NAS,Bahamas,GCM,Cayman Islands
NAS,Bahamas,LHR,United Kingdom
NAS,Bahamas,PLS,Turks and Caicos Islands
NBO,Kenya,LHR,United Kingdom
NCE,France,LCY,United Kingdom
NCE,France,LGW,United Kingdom
NCE,France,LHR,United Kingdom
NRT,Japan,LHR,United Kingdom
OLB,Italy,LGW,United Kingdom
OPO,Portugal,LHR,United Kingdom
ORD,United States,CDG,France
ORD,United States,DUB,Ireland
ORD,United States,DUS,Germany
ORD,United States,FCO,Italy
ORD,United States,LHR,United Kingdom
ORD,United States,MAD,Spain
ORD,United States,MAN,United Kingdom
ORY,France,EWR,United States
ORY,France,JFK,United States
ORY,France,LHR,United Kingdom
OSL,Norway,AAL,Denmark
OSL,Norway,AAR,Denmark
OSL,Norway,BLL,Denmark
OSL,Norway,LHR,United Kingdom
OTP,Romania,LHR,United Kingdom
PEK,China,LHR,United Kingdom
PFO,Cyprus,LGW,United Kingdom
PHL,United States,LHR,United Kingdom
PHX,United States,LHR,United Kingdom
PLS,Turks and Caicos Islands,NAS,Bahamas
PMI,Spain,LCY,United Kingdom
PMI,Spain,LHR,United Kingdom
POS,Trinidad and Tobago,UVF,Saint Lucia
PRG,Czech Republic,LHR,United Kingdom
PSA,Italy,LGW,United Kingdom
PSA,Italy,LHR,United Kingdom
PUJ,Dominican Republic,ANU,Antigua and Barbuda
PVG,China,LHR,United Kingdom
RAK,Morocco,LGW,United Kingdom
RDU,United States,LHR,United Kingdom
ROB,Liberia,FNA,Sierra Leone
RTM,Netherlands,LCY,United Kingdom
RTM,Netherlands,LHR,United Kingdom
RUH,Saudi Arabia,LHR,United Kingdom
SAL,El Salvador,MAD,Spain
SAN,United States,LHR,United Kingdom
SEA,United States,LHR,United Kingdom
SFO,United States,LHR,United Kingdom
SIN,Singapore,LHR,United Kingdom
SIN,Singapore,SYD,Australia
SJO,Costa Rica,MIA,United States
SKB,Saint Kitts and Nevis,ANU,Antigua and Barbuda
SKG,Greece,LGW,United Kingdom
SOF,Bulgaria,LHR,United Kingdom
STR,Germany,LHR,United Kingdom
STT,Virgin Islands,MIA,United States
SVG,Norway,LHR,United Kingdom
SYD,Australia,SIN,Singapore
SZG,Austria,LGW,United Kingdom
TAB,Trinidad and Tobago,ANU,Antigua and Barbuda
TFS,Spain,LGW,United Kingdom
TIA,Albania,LGW,United Kingdom
TIP,Libya,LHR,United Kingdom
TLS,France,LHR,United Kingdom
TLV,Israel,LHR,United Kingdom
TPA,United States,LGW,United Kingdom
TRN,Italy,LGW,United Kingdom
TXL,Germany,LHR,United Kingdom
UVF,Saint Lucia,GND,Grenada
UVF,Saint Lucia,LGW,United Kingdom
UVF,Saint Lucia,POS,Trinidad and Tobago
VCE,Italy,LCY,United Kingdom
VCE,Italy,LGW,United Kingdom
VCE,Italy,LHR,United Kingdom
VFA,Zimbabwe,JNB,South Africa
VIE,Austria,LHR,United Kingdom
VNO,Lithuania,HEL,Finland
VRN,Italy,LGW,United Kingdom
WAW,Poland,HEL,Finland
WAW,Poland,LHR,United Kingdom
WDH,Namibia,JNB,South Africa
YUL,Canada,LHR,United Kingdom
YVR,Canada,LHR,United Kingdom
YYC,Canada,LHR,United Kingdom
YYZ,Canada,LHR,United Kingdom
ZAG,Croatia,LHR,United Kingdom
ZRH,Switzerland,BLL,Denmark
ZRH,Switzerland,LCY,United Kingdom
ZRH,Switzerland,LHR,United Kingdom
DOM,Dominica,SJU,Puerto Rico
EIS,British Virgin Islands,SJU,Puerto Rico
FDF,Martinique,SJU,Puerto Rico
LRM,Dominican Republic,SJU,Puerto Rico
PTP,Guadeloupe,SJU,Puerto Rico
PUJ,Dominican Republic,SJU,Puerto Rico
SDQ,Dominican Republic,SJU,Puerto Rico
SJU,Puerto Rico,DOM,Dominica
SJU,Puerto Rico,EIS,British Virgin Islands
SJU,Puerto Rico,FDF,Martinique
SJU,Puerto Rico,LRM,Dominican Republic
SJU,Puerto Rico,PTP,Guadeloupe
SJU,Puerto Rico,PUJ,Dominican Republic
SJU,Puerto Rico,SDQ,Dominican Republic
SJU,Puerto Rico,SKB,Saint Kitts and Nevis
SJU,Puerto Rico,STI,Dominican Republic
SJU,Puerto Rico,STT,Virgin Islands
SJU,Puerto Rico,STX,Virgin Islands
SJU,Puerto Rico,SXM,Netherlands Antilles
SJU,Puerto Rico,VIJ,British Virgin Islands
SKB,Saint Kitts and Nevis,SJU,Puerto Rico
SPB,Virgin Islands,SSB,
SSB,,SPB,Virgin Islands
STI,Dominican Republic,SJU,Puerto Rico
STT,Virgin Islands,SJU,Puerto Rico
STX,Virgin Islands,SJU,Puerto Rico
SXM,Netherlands Antilles,SJU,Puerto Rico
VIJ,British Virgin Islands,SJU,Puerto Rico
ABZ,United Kingdom,CDG,France
AGP,Spain,EXT,United Kingdom
AGP,Spain,SOU,United Kingdom
ALC,Spain,BHX,United Kingdom
ALC,Spain,EXT,United Kingdom
ALC,Spain,SOU,United Kingdom
AMS,Netherlands,BHX,United Kingdom
AMS,Netherlands,EMA,United Kingdom
AMS,Netherlands,EXT,United Kingdom
AMS,Netherlands,INV,United Kingdom
AMS,Netherlands,SOU,United Kingdom
BES,France,SOU,United Kingdom
BHX,United Kingdom,ALC,Spain
BHX,United Kingdom,AMS,Netherlands
BHX,United Kingdom,CDG,France
BHX,United Kingdom,CGN,Germany
BHX,United Kingdom,DBV,Croatia
BHX,United Kingdom,DUS,Germany
BHX,United Kingdom,FLR,Italy
BHX,United Kingdom,GCI,Guernsey
BHX,United Kingdom,HAJ,Germany
BHX,United Kingdom,IOM,Isle of Man
BHX,United Kingdom,JER,Jersey
BHX,United Kingdom,LYS,France
BHX,United Kingdom,MXP,Italy
BHX,United Kingdom,NOC,Ireland
BHX,United Kingdom,OPO,Portugal
BHX,United Kingdom,STR,Germany
BHX,United Kingdom,WAT,Ireland
CDG,France,ABZ,United Kingdom
CDG,France,BHX,United Kingdom
CDG,France,EDI,United Kingdom
CDG,France,EXT,United Kingdom
CDG,France,MAN,United Kingdom
CDG,France,NCL,United Kingdom
CFN,Ireland,GLA,United Kingdom
CGN,Germany,BHX,United Kingdom
CWL,United Kingdom,JER,Jersey
DBV,Croatia,BHX,United Kingdom
DSA,Sheffield,JER,Jersey
DUB,Ireland,EXT,United Kingdom
DUB,Ireland,SOU,United Kingdom
DUS,Germany,BHX,United Kingdom
DUS,Germany,EXT,United Kingdom
DUS,Germany,MAN,United Kingdom
EDI,United Kingdom,CDG,France
EDI,United Kingdom,JER,Jersey
EGC,France,EXT,United Kingdom
EGC,France,SOU,United Kingdom
EMA,United Kingdom,AMS,Netherlands
EMA,United Kingdom,JER,Jersey
EXT,United Kingdom,AGP,Spain
EXT,United Kingdom,ALC,Spain
EXT,United Kingdom,AMS,Netherlands
EXT,United Kingdom,CDG,France
EXT,United Kingdom,DUB,Ireland
EXT,United Kingdom,DUS,Germany
EXT,United Kingdom,EGC,France
EXT,United Kingdom,FAO,Portugal
EXT,United Kingdom,GCI,Guernsey
EXT,United Kingdom,JER,Jersey
EXT,United Kingdom,PMI,Spain
EXT,United Kingdom,RNS,France
FAO,Portugal,EXT,United Kingdom
FAO,Portugal,SOU,United Kingdom
FLR,Italy,BHX,United Kingdom
GCI,Guernsey,BHX,United Kingdom
GCI,Guernsey,EXT,United Kingdom
GCI,Guernsey,JER,Jersey
GCI,Guernsey,NWI,United Kingdom
GCI,Guernsey,SOU,United Kingdom
GLA,United Kingdom,CFN,Ireland
GLA,United Kingdom,JER,Jersey
HAJ,Germany,BHX,United Kingdom
HAJ,Germany,MAN,United Kingdom
HEL,Finland,NRK,Sweden
HEL,Finland,TAY,Estonia
HUY,United Kingdom,JER,Jersey
INV,United Kingdom,AMS,Netherlands
IOM,Isle of Man,BHX,United Kingdom
IOM,Isle of Man,LPL,United Kingdom
IOM,Isle of Man,MAN,United Kingdom
JER,Jersey,BHX,United Kingdom
JER,Jersey,CWL,United Kingdom
JER,Jersey,DSA,Sheffield
JER,Jersey,EDI,United Kingdom
JER,Jersey,EMA,United Kingdom
JER,Jersey,EXT,United Kingdom
JER,Jersey,GCI,Guernsey
JER,Jersey,GLA,United Kingdom
JER,Jersey,HUY,United Kingdom
JER,Jersey,MAN,United Kingdom
JER,Jersey,NWI,United Kingdom
JER,Jersey,SOU,United Kingdom
LIG,France,SOU,United Kingdom
LPL,United Kingdom,IOM,Isle of Man
LRH,France,SOU,United Kingdom
LYS,France,BHX,United Kingdom
MAN,United Kingdom,CDG,France
MAN,United Kingdom,DUS,Germany
MAN,United Kingdom,HAJ,Germany
MAN,United Kingdom,IOM,Isle of Man
MAN,United Kingdom,JER,Jersey
MAN,United Kingdom,MXP,Italy
MAN,United Kingdom,NOC,Ireland
MAN,United Kingdom,NTE,France
MAN,United Kingdom,WAT,Ireland
MXP,Italy,BHX,United Kingdom
MXP,Italy,MAN,United Kingdom
NCE,France,SOU,United Kingdom
NCL,United Kingdom,CDG,France
NOC,Ireland,BHX,United Kingdom
NOC,Ireland,MAN,United Kingdom
NRK,Sweden,HEL,Finland
NTE,France,MAN,United Kingdom
NTE,France,SOU,United Kingdom
NWI,United Kingdom,GCI,Guernsey
NWI,United Kingdom,JER,Jersey
OPO,Portugal,BHX,United Kingdom
ORY,France,SOU,United Kingdom
PMI,Spain,EXT,United Kingdom
PMI,Spain,SOU,United Kingdom
RNS,France,EXT,United Kingdom
RNS,France,SOU,United Kingdom
SOU,United Kingdom,AGP,Spain
SOU,United Kingdom,ALC,Spain
SOU,United Kingdom,AMS,Netherlands
SOU,United Kingdom,BES,France
SOU,United Kingdom,DUB,Ireland
SOU,United Kingdom,EGC,France
SOU,United Kingdom,FAO,Portugal
SOU,United Kingdom,GCI,Guernsey
SOU,United Kingdom,JER,Jersey
SOU,United Kingdom,LIG,France
SOU,United Kingdom,LRH,France
SOU,United Kingdom,NCE,France
SOU,United Kingdom,NTE,France
SOU,United Kingdom,ORY,France
SOU,United Kingdom,PMI,Spain
SOU,United Kingdom,RNS,France
STR,Germany,BHX,United Kingdom
TAY,Estonia,HEL,Finland
WAT,Ireland,BHX,United Kingdom
WAT,Ireland,MAN,United Kingdom
AUH,United Arab Emirates,ZYL,Bangladesh
BKK,Thailand,DAC,Bangladesh
CCU,India,DAC,Bangladesh
CGP,Bangladesh,AUH,United Arab Emirates
CGP,Bangladesh,DXB,United Arab Emirates
CGP,Bangladesh,JED,Saudi Arabia
CGP,Bangladesh,MCT,Oman
DAC,Bangladesh,BKK,Thailand
DAC,Bangladesh,CCU,India
DAC,Bangladesh,DEL,India
DAC,Bangladesh,DMM,Saudi Arabia
DAC,Bangladesh,DOH,Qatar
DAC,Bangladesh,FCO,Italy
DAC,Bangladesh,HKG,Hong Kong
DAC,Bangladesh,JED,Saudi Arabia
DAC,Bangladesh,KTM,Nepal
DAC,Bangladesh,KUL,Malaysia
DAC,Bangladesh,KWI,Kuwait
DAC,Bangladesh,LHR,United Kingdom
DAC,Bangladesh,MCT,Oman
DAC,Bangladesh,RGN,Burma
DAC,Bangladesh,SIN,Singapore
DEL,India,DAC,Bangladesh
DOH,Qatar,DXB,United Arab Emirates
DXB,United Arab Emirates,CGP,Bangladesh
DXB,United Arab Emirates,ZYL,Bangladesh
FCO,Italy,DAC,Bangladesh
FCO,Italy,FRA,Germany
FRA,Germany,FCO,Italy
HKG,Hong Kong,DAC,Bangladesh
JED,Saudi Arabia,CGP,Bangladesh
JED,Saudi Arabia,DAC,Bangladesh
KTM,Nepal,DAC,Bangladesh
KUL,Malaysia,DAC,Bangladesh
KWI,Kuwait,CGP,Bangladesh
KWI,Kuwait,DAC,Bangladesh
LHR,United Kingdom,DAC,Bangladesh
LHR,United Kingdom,ZYL,Bangladesh
MCT,Oman,CGP,Bangladesh
RGN,Burma,DAC,Bangladesh
RUH,Saudi Arabia,DAC,Bangladesh
SIN,Singapore,DAC,Bangladesh
BKI,Malaysia,BWN,Brunei
BKK,Thailand,BWN,Brunei
BWN,Brunei,BKI,Malaysia
BWN,Brunei,BKK,Thailand
BWN,Brunei,CGK,Indonesia
BWN,Brunei,DWC,United Arab Emirates
BWN,Brunei,HKG,Hong Kong
BWN,Brunei,JED,Saudi Arabia
BWN,Brunei,KUL,Malaysia
BWN,Brunei,MEL,Australia
BWN,Brunei,MNL,Philippines
BWN,Brunei,MZV,Malaysia
BWN,Brunei,PVG,China
BWN,Brunei,SIN,Singapore
BWN,Brunei,SUB,Indonesia
CGK,Indonesia,BWN,Brunei
DWC,United Arab Emirates,LHR,United Kingdom
DXB,United Arab Emirates,BWN,Brunei
HKG,Hong Kong,BWN,Brunei
JED,Saudi Arabia,BWN,Brunei
KUL,Malaysia,BWN,Brunei
LHR,United Kingdom,DXB,United Arab Emirates
MEL,Australia,BWN,Brunei
MNL,Philippines,BWN,Brunei
MZV,Malaysia,BWN,Brunei
PVG,China,BWN,Brunei
SIN,Singapore,BWN,Brunei
SUB,Indonesia,BWN,Brunei
CDG,France,DJE,Tunisia
CDG,France,MIR,Tunisia
CDG,France,TUN,Tunisia
DJE,Tunisia,CDG,France
DJE,Tunisia,LIL,France
DJE,Tunisia,LYS,France
DJE,Tunisia,MLH,
DJE,Tunisia,MRS,France
DJE,Tunisia,MUC,Germany
DJE,Tunisia,NTE,France
DME,Russia,NBE,Tunisia
DUS,Germany,NBE,Tunisia
FRA,Germany,NBE,Tunisia
LED,Russia,NBE,Tunisia
LIL,France,DJE,Tunisia
LYS,France,DJE,Tunisia
LYS,France,MIR,Tunisia
LYS,France,TUN,Tunisia
MIR,Tunisia,CDG,France
MRS,France,DJE,Tunisia
MUC,Germany,DJE,Tunisia
MUC,Germany,NBE,Tunisia
NBE,Tunisia,DME,Russia
NBE,Tunisia,DUS,Germany
NBE,Tunisia,FRA,Germany
NBE,Tunisia,LED,Russia
NBE,Tunisia,MUC,Germany
NTE,France,DJE,Tunisia
NTE,France,TUN,Tunisia
TUN,Tunisia,CDG,France
TUN,Tunisia,LYS,France
TUN,Tunisia,NTE,France
CJU,South Korea,CSX,China
CJU,South Korea,TSN,China
CSX,China,CJU,South Korea
TSN,China,CJU,South Korea
ABZ,United Kingdom,EBJ,Denmark
ABZ,United Kingdom,KSU,Norway
ABZ,United Kingdom,OSL,Norway
BHX,United Kingdom,GOT,Sweden
BRE,Germany,TLS,France
BRS,United Kingdom,FRA,Germany
BRS,United Kingdom,HAM,Germany
BRS,United Kingdom,MUC,Germany
BRS,United Kingdom,MXP,Italy
BRU,Belgium,EMA,United Kingdom
BRU,Belgium,NCL,United Kingdom
EBJ,Denmark,ABZ,United Kingdom
EMA,United Kingdom,BRU,Belgium
EVE,Harstad/Narvik,SVG,Norway
FRA,Germany,BRS,United Kingdom
GOT,Sweden,BHX,United Kingdom
GOT,Sweden,SVG,Norway
HAM,Germany,BRS,United Kingdom
KSU,Norway,ABZ,United Kingdom
MUC,Germany,BRS,United Kingdom
MXP,Italy,BRS,United Kingdom
NCL,United Kingdom,BRU,Belgium
OSL,Norway,ABZ,United Kingdom
SVG,Norway,EVE,Harstad/Narvik
SVG,Norway,GOT,Sweden
TLS,France,BRE,Germany
BBK,Botswana,JNB,South Africa
CPT,South Africa,GBE,Botswana
CPT,South Africa,MUB,Botswana
FRW,Botswana,JNB,South Africa
GBE,Botswana,CPT,South Africa
GBE,Botswana,HRE,Zimbabwe
GBE,Botswana,JNB,South Africa
GBE,Botswana,LUN,Zambia
HRE,Zimbabwe,GBE,Botswana
JNB,South Africa,BBK,Botswana
JNB,South Africa,FRW,Botswana
JNB,South Africa,GBE,Botswana
JNB,South Africa,MUB,Botswana
LUN,Zambia,GBE,Botswana
MUB,Botswana,CPT,South Africa
MUB,Botswana,JNB,South Africa
AKJ,Japan,TPE,Taiwan
AMS,Netherlands,BKK,Thailand
BKK,Thailand,AMS,Netherlands
BKK,Thailand,LHR,United Kingdom
BKK,Thailand,TPE,Taiwan
BKK,Thailand,VIE,Austria
BNE,Australia,TPE,Taiwan
CAN,China,KHH,Taiwan
CAN,China,TPE,Taiwan
CDG,France,TPE,Taiwan
CGK,Indonesia,TPE,Taiwan
CGO,China,KHH,Taiwan
CGO,China,TPE,Taiwan
CTS,Japan,TPE,Taiwan
CTU,China,TPE,Taiwan
DPS,Indonesia,TPE,Taiwan
FUK,Japan,TPE,Taiwan
GMP,South Korea,TSA,Taiwan
GUM,Guam,TPE,Taiwan
HAN,Vietnam,TPE,Taiwan
HET,China,TPE,Taiwan
HGH,China,TPE,Taiwan
HKD,Japan,TPE,Taiwan
HKG,Hong Kong,TPE,Taiwan
HND,Japan,TSA,Taiwan
HRB,China,TPE,Taiwan
ICN,South Korea,KHH,Taiwan
ICN,South Korea,TPE,Taiwan
JFK,United States,TPE,Taiwan
KHH,Taiwan,CAN,China
KHH,Taiwan,CGO,China
KHH,Taiwan,ICN,South Korea
KHH,Taiwan,MFM,Macau
KHH,Taiwan,NGB,China
KHH,Taiwan,NRT,Japan
KHH,Taiwan,PVG,China
KHH,Taiwan,TNA,China
KHH,Taiwan,TSN,China
KIX,Japan,TPE,Taiwan
KMQ,Japan,TPE,Taiwan
KUL,Malaysia,TPE,Taiwan
KWL,China,TPE,Taiwan
LAX,United States,TPE,Taiwan
LHR,United Kingdom,BKK,Thailand
MFM,Macau,KHH,Taiwan
MFM,Macau,RMQ,Taiwan
MFM,Macau,TPE,Taiwan
MNL,Philippines,TPE,Taiwan
NGB,China,KHH,Taiwan
NRT,Japan,KHH,Taiwan
NRT,Japan,TPE,Taiwan
OKJ,Japan,TPE,Taiwan
PEK,China,TPE,Taiwan
PNH,Cambodia,TPE,Taiwan
PVG,China,KHH,Taiwan
PVG,China,TPE,Taiwan
RMQ,Taiwan,MFM,Macau
SDJ,Japan,TPE,Taiwan
SEA,United States,TPE,Taiwan
SFO,United States,TPE,Taiwan
SGN,Vietnam,TPE,Taiwan
SHA,China,TSA,Taiwan
SIN,Singapore,TPE,Taiwan
SUB,Indonesia,TPE,Taiwan
TNA,China,KHH,Taiwan
TNA,China,TPE,Taiwan
TPE,Taiwan,AKJ,Japan
TPE,Taiwan,BKK,Thailand
TPE,Taiwan,BNE,Australia
TPE,Taiwan,CAN,China
TPE,Taiwan,CDG,France
TPE,Taiwan,CGK,Indonesia
TPE,Taiwan,CGO,China
TPE,Taiwan,CTS,Japan
TPE,Taiwan,CTU,China
TPE,Taiwan,DPS,Indonesia
TPE,Taiwan,FUK,Japan
TPE,Taiwan,GUM,Guam
TPE,Taiwan,HAN,Vietnam
TPE,Taiwan,HET,China
TPE,Taiwan,HGH,China
TPE,Taiwan,HKD,Japan
TPE,Taiwan,HKG,Hong Kong
TPE,Taiwan,HRB,China
TPE,Taiwan,ICN,South Korea
TPE,Taiwan,JFK,United States
TPE,Taiwan,KIX,Japan
TPE,Taiwan,KMQ,Japan
TPE,Taiwan,KUL,Malaysia
TPE,Taiwan,KWL,China
TPE,Taiwan,LAX,United States
TPE,Taiwan,MFM,Macau
TPE,Taiwan,MNL,Philippines
TPE,Taiwan,NRT,Japan
TPE,Taiwan,OKJ,Japan
TPE,Taiwan,PEK,China
TPE,Taiwan,PNH,Cambodia
TPE,Taiwan,PVG,China
TPE,Taiwan,SDJ,Japan
TPE,Taiwan,SEA,United States
TPE,Taiwan,SFO,United States
TPE,Taiwan,SGN,Vietnam
TPE,Taiwan,SIN,Singapore
TPE,Taiwan,SUB,Indonesia
TPE,Taiwan,TNA,China
TPE,Taiwan,TSN,China
TPE,Taiwan,TXN,China
TPE,Taiwan,YVR,Canada
TPE,Taiwan,YYZ,Canada
TSA,Taiwan,GMP,South Korea
TSA,Taiwan,HND,Japan
TSA,Taiwan,SHA,China
TSN,China,KHH,Taiwan
TSN,China,TPE,Taiwan
TXN,China,TPE,Taiwan
VIE,Austria,BKK,Thailand
YVR,Canada,TPE,Taiwan
YYZ,Canada,TPE,Taiwan
ABZ,United Kingdom,RIX,Latvia
AES,Norway,RIX,Latvia
AMS,Netherlands,AUH,United Arab Emirates
AMS,Netherlands,RIX,Latvia
ARN,Sweden,RIX,Latvia
ATH,Greece,RIX,Latvia
AUH,United Arab Emirates,AMS,Netherlands
AUH,United Arab Emirates,BRU,Belgium
AUH,United Arab Emirates,FRA,Germany
AUH,United Arab Emirates,MUC,Germany
BCN,Spain,RIX,Latvia
BGO,Norway,RIX,Latvia
BLL,Denmark,RIX,Latvia
BRU,Belgium,AUH,United Arab Emirates
BRU,Belgium,RIX,Latvia
BRU,Belgium,VNO,Lithuania
BUD,Hungary,RIX,Latvia
CDG,France,RIX,Latvia
CPH,Denmark,RIX,Latvia
DME,Russia,RIX,Latvia
DUS,Germany,RIX,Latvia
FCO,Italy,RIX,Latvia
FRA,Germany,AUH,United Arab Emirates
FRA,Germany,RIX,Latvia
GOT,Sweden,RIX,Latvia
GYD,Azerbaijan,RIX,Latvia
HAM,Germany,RIX,Latvia
HEL,Finland,RIX,Latvia
KBP,Ukraine,RIX,Latvia
KGD,Russia,RIX,Latvia
KIV,Moldova,RIX,Latvia
LCA,Cyprus,RIX,Latvia
LED,Russia,RIX,Latvia
LGW,United Kingdom,RIX,Latvia
LHR,United Kingdom,LIN,Italy
LIN,Italy,LHR,United Kingdom
MLA,Malta,RIX,Latvia
MSQ,Belarus,RIX,Latvia
MUC,Germany,AUH,United Arab Emirates
MUC,Germany,RIX,Latvia
MXP,Italy,RIX,Latvia
NCE,France,RIX,Latvia
OLB,Italy,RIX,Latvia
OSL,Norway,RIX,Latvia
PLQ,Lithuania,RIX,Latvia
PRG,Czech Republic,RIX,Latvia
RIX,Latvia,ABZ,United Kingdom
RIX,Latvia,AES,Norway
RIX,Latvia,AMS,Netherlands
RIX,Latvia,ARN,Sweden
RIX,Latvia,ATH,Greece
RIX,Latvia,BCN,Spain
RIX,Latvia,BGO,Norway
RIX,Latvia,BLL,Denmark
RIX,Latvia,BRU,Belgium
RIX,Latvia,BUD,Hungary
RIX,Latvia,CDG,France
RIX,Latvia,CPH,Denmark
RIX,Latvia,DME,Russia
RIX,Latvia,DUS,Germany
RIX,Latvia,FCO,Italy
RIX,Latvia,FRA,Germany
RIX,Latvia,GOT,Sweden
RIX,Latvia,GYD,Azerbaijan
RIX,Latvia,HAM,Germany
RIX,Latvia,HEL,Finland
RIX,Latvia,KBP,Ukraine
RIX,Latvia,KGD,Russia
RIX,Latvia,KIV,Moldova
RIX,Latvia,LCA,Cyprus
RIX,Latvia,LED,Russia
RIX,Latvia,LGW,United Kingdom
RIX,Latvia,MLA,Malta
RIX,Latvia,MSQ,Belarus
RIX,Latvia,MUC,Germany
